source,section,title,location,path
S03,15,실패하지 않는 세일즈 공식 3가지,pdf-0128,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,16,효과적인 세일즈레터 형식,pdf-0141,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,17,세일즈레터의 요소 13가지,pdf-0149,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,18,이메일 티저,pdf-0166,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,19,초고 작성하기,pdf-0173,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,20,스토리,pdf-0176,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,21,사랑받거나 미움받거나,pdf-0186,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,22,제품 약속,pdf-0192,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,23,형편없는 카피 고치기,pdf-0202,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,24,네거티브 전략,pdf-0212,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,25,스텔스 클로징,pdf-0219,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,26,카피라이팅 외주의 현실,pdf-0231,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,27,마법의 책상,pdf-0237,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,28,온라인 광고의 목적,pdf-0248,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,29,후크 포인트,pdf-0261,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,30,스와이프 파일,pdf-0269,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S03,31,카피 다듬기,pdf-0273,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스토리설계자.md
S04,1,전업주부 아빠였던 내가 어떻게 한 주 만에 억대 매출을 냈을까,pdf-0012,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,2,PLF는 어떻게 작동하는가,pdf-0028,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,3,이메일 리스트는 돈을 찍어내는 기계다,pdf-0051,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,4,사이드웨이 세일즈 레터로 잠재고객과 소통하고 신뢰를 형성하라,pdf-0078,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,5,심리적 방아쇠는 누구에게나 효과를 낸다,pdf-0093,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,6,프리-프리런칭으로 시장에 경고사격을 하라,pdf-0110,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,7,"프리런칭의 힘, 사람들이 원하는 것을 팔라",pdf-0126,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,8,오픈 카트로 완벽한 판매를 시작하라,pdf-0146,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,9,무에서 유를 창조하는 시드런칭,pdf-0172,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,10,사업의 규모를 성장시키는 JV런칭,pdf-0193,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,11,비즈니스의 흐름을 바꾸는 라이브런칭,pdf-0210,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,12,소셜미디어로 런칭 화력 올리기,pdf-0233,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,13,"유료 트래픽, 잠재고객을 끌어당기는 지름길",pdf-0259,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,14,새로운 런칭과 새로운 비즈니스,pdf-0282,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,15,자신이 정말로 좋아하는 사업을 시작하라,pdf-0300,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,16,원하는 인생을 사는 법,pdf-0314,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
S04,17,이제부터는 당신의 시간이다,pdf-0333,/Users/seranlee/B2B강의대본/자료통합/_원문/설계자/스타트업 설계자.md
M01,12,그랜드슬램 오퍼,pdf-0012,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M offer.md
M01,20,상품화 문제,pdf-0020,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M offer.md
M01,28,시장 선택,pdf-0028,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M offer.md
M01,39,가치에 맞는 가격,pdf-0039,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M offer.md
M01,50,가치 공식,pdf-0050,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M offer.md
M01,62,사고 과정,pdf-0062,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M offer.md
M01,65,문제와 해결책,pdf-0065,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M offer.md
M01,73,덜어내고 쌓기,pdf-0073,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M offer.md
M01,86,오퍼 강화,pdf-0086,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M offer.md
M01,93,희소성,pdf-0093,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M offer.md
M01,100,긴급성,pdf-0100,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M offer.md
M01,104,보너스,pdf-0104,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M offer.md
M01,111,보장,pdf-0111,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M offer.md
M01,124,이름 짓기,pdf-0124,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M offer.md
M01,136,실행,pdf-0136,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M offer.md
M02,20,리드와 참여 리드,pdf-0020,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M leads.md
M02,22,오퍼와 리드마그넷,pdf-0022,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M leads.md
M02,43,네 가지 유입 방법,pdf-0043,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M leads.md
M02,47,웜 아웃리치,pdf-0047,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M leads.md
M02,65,무료 콘텐츠 1,pdf-0065,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M leads.md
M02,79,무료 콘텐츠 2,pdf-0079,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M leads.md
M02,93,콜드 아웃리치,pdf-0093,/Users/seranlee/B2B강의대본/자료통합/_원문/100M_PDF텍스트/100M leads.md
